Heures;mois;t;jour_semaine;jour_mois;Consommation
15;2;9.995238095238117;2;11;71588.0
18;2;5.707142857142876;2;11;71102.0
21;2;3.180952380952403;2;11;74193.0
0;2;1.9642857142857333;3;12;73637.0
3;2;1.285714285714306;3;12;68880.0
6;2;0.8547619047619245;3;12;71038.0
9;2;3.8000000000000247;3;12;81734.0
12;2;8.91904761904764;3;12;79528.0
15;2;10.490476190476208;3;12;72080.0
18;2;6.588095238095261;3;12;72075.0
21;2;4.350000000000023;3;12;73461.0
0;2;3.5809523809524006;4;13;72157.0
3;2;3.4119047619047853;4;13;66542.0
6;2;3.683333333333349;4;13;67978.0
9;2;6.4928571428571615;4;13;79364.0
12;2;10.52857142857145;4;13;76882.0
15;2;10.740476190476215;4;13;70955.0
18;2;8.380952380952406;4;13;70879.0
21;2;7.511904761904789;4;13;70590.0
0;2;6.85000000000002;5;14;68788.0
3;2;6.371428571428592;5;14;60263.0
6;2;5.980952380952407;5;14;57966.0
9;2;6.880952380952404;5;14;64850.0
12;2;8.664285714285734;5;14;68580.0
15;2;8.421428571428592;5;14;63906.0
18;2;6.580952380952404;5;14;63963.0
21;2;5.711904761904784;5;14;65779.0
0;2;5.147619047619072;6;15;66874.0
3;2;4.902380952380978;6;15;59240.0
6;2;4.830952380952402;6;15;55553.0
9;2;5.895238095238118;6;15;59694.0
12;2;7.873809523809546;6;15;64944.0
15;2;8.269047619047644;6;15;59135.0
18;2;6.211904761904783;6;15;60207.0
21;2;4.783333333333357;6;15;65658.0
0;2;3.8452380952381198;0;16;66527.0
3;2;3.2071428571428773;0;16;60950.0
6;2;3.1809523809524003;0;16;63933.0
9;2;4.671428571428598;0;16;76995.0
12;2;7.49761904761907;0;16;77436.0
15;2;8.295238095238116;0;16;72326.0
18;2;6.546341463414657;0;16;71966.0
21;2;5.7414634146341665;0;16;72162.0
0;2;5.417073170731733;1;17;70099.0
3;2;5.070731707317093;1;17;63018.0
6;2;4.961904761904784;1;17;64732.0
9;2;5.869047619047642;1;17;76367.0
12;2;7.995238095238121;1;17;78042.0
15;2;8.53571428571431;1;17;72829.0
18;2;6.390476190476219;1;17;71987.0
21;2;4.900000000000026;1;17;72268.0
0;2;3.730952380952401;2;18;71498.0
3;2;2.7785714285714525;2;18;65431.0
6;2;2.3119047619047857;2;18;67612.0
9;2;4.369047619047641;2;18;78402.0
12;2;7.692857142857171;2;18;77516.0
15;2;8.433333333333353;2;18;71456.0
18;2;5.647619047619073;2;18;70174.0
21;2;3.700000000000025;2;18;72623.0
0;2;2.2190476190476405;3;19;71638.0
3;2;1.2690476190476423;3;19;66827.0
6;2;1.0023809523809732;3;19;68537.0
9;2;4.045238095238114;3;19;78879.0
12;2;8.407142857142876;3;19;76660.0
15;2;10.026190476190497;3;19;70570.0
18;2;6.964285714285738;3;19;69919.0
21;2;5.004761904761923;3;19;71564.0
0;2;4.104761904761931;4;20;70480.0
3;2;3.7095238095238314;4;20;64797.0
6;2;3.719047619047642;4;20;66097.0
9;2;7.009523809523829;4;20;76956.0
12;2;10.38571428571431;4;20;76631.0
15;2;10.721428571428595;4;20;71106.0
18;2;8.192857142857166;4;20;70505.0
21;2;6.685714285714309;4;20;70452.0
0;2;5.990476190476213;5;21;69134.0
3;2;5.376190476190498;5;21;60417.0
6;2;4.914285714285742;5;21;58193.0
9;2;5.626190476190501;5;21;65561.0
12;2;6.704761904761925;5;21;69915.0
15;2;6.4000000000000234;5;21;65424.0
18;2;4.454761904761925;5;21;64818.0
21;2;3.592857142857164;5;21;67936.0
0;2;2.761904761904785;6;22;69785.0
3;2;2.1261904761904993;6;22;62949.0
6;2;1.5452380952381204;6;22;60059.0
9;2;3.9738095238095434;6;22;64213.0
12;2;7.264285714285741;6;22;66330.0
15;2;7.9714285714286;6;22;59693.0
18;2;6.057142857142881;6;22;60508.0
21;2;4.928571428571452;6;22;68184.0
0;2;5.159523809523829;0;23;68235.0
3;2;5.628571428571449;0;23;61720.0
6;2;6.143902439024413;0;23;63260.0
9;2;7.545238095238119;0;23;74709.0
12;2;9.478571428571447;0;23;75309.0
15;2;9.319047619047643;0;23;70985.0
18;2;7.000000000000024;0;23;70394.0
21;2;5.885714285714305;0;23;71791.0
0;2;5.204761904761931;1;24;70350.0
3;2;4.547619047619073;1;24;63785.0
6;2;4.238095238095262;1;24;65895.0
9;2;5.833333333333358;1;24;77298.0
12;2;7.880952380952408;1;24;77099.0
15;2;8.321428571428594;1;24;71892.0
18;2;6.292857142857165;1;24;70844.0
21;2;5.483333333333358;1;24;72799.0
0;2;5.090476190476214;2;25;71057.0
3;2;4.959523809523833;2;25;63884.0
6;2;4.802380952380975;2;25;65406.0
9;2;6.721428571428592;2;25;74978.0
12;2;9.216666666666693;2;25;75349.0
15;2;9.895238095238117;2;25;70522.0
18;2;8.476190476190496;2;25;69171.0
21;2;7.580952380952404;2;25;69371.0
0;2;7.1333333333333515;3;26;67368.0
3;2;6.709523809523833;3;26;61274.0
6;2;6.70952380952383;3;26;62289.0
9;2;8.673809523809549;3;26;72989.0
12;2;10.680952380952405;3;26;73919.0
15;2;10.792857142857164;3;26;69931.0
18;2;9.27857142857145;3;26;69106.0
21;2;8.157142857142878;3;26;68610.0
0;2;7.297619047619068;4;27;67240.0
3;2;5.947619047619073;4;27;60347.0
6;2;4.842857142857168;4;27;62579.0
9;2;5.892857142857163;4;27;74319.0
12;2;7.930952380952403;4;27;74208.0
15;2;8.228571428571453;4;27;68956.0
18;2;5.952380952380973;4;27;67296.0
21;2;4.323809523809546;4;27;70084.0
0;2;3.28809523809526;5;28;69763.0
3;2;2.5738095238095475;5;28;62057.0
6;2;2.569047619047644;5;28;60508.0
9;2;6.045238095238114;5;28;66558.0
12;2;9.090476190476213;5;28;67173.0
15;2;9.426190476190499;5;28;61851.0
18;2;8.145238095238117;5;28;61798.0
21;2;7.411904761904785;5;28;64698.0
0;3;7.690476190476215;6;1;65573.0
3;3;7.909523809523837;6;1;57303.0
6;3;8.128571428571451;6;1;52703.0
9;3;9.435714285714308;6;1;56167.0
12;3;11.266666666666692;6;1;61248.0
15;3;11.79761904761907;6;1;55676.0
18;3;10.788095238095261;6;1;55560.0
21;3;10.366666666666688;6;1;61045.0
0;3;9.904761904761928;0;2;60901.0
3;3;9.559523809523835;0;2;54009.0
6;3;9.111904761904785;0;2;56806.0
9;3;9.96904761904764;0;2;68914.0
12;3;11.883333333333358;0;2;69092.0
15;3;11.44523809523812;0;2;65304.0
18;3;9.19523809523812;0;2;64325.0
21;3;7.835714285714307;0;2;66891.0
0;3;6.7023809523809765;1;3;65608.0
3;3;5.866666666666689;1;3;58673.0
6;3;5.419047619047639;1;3;61291.0
9;3;8.745238095238117;1;3;70402.0
12;3;11.485714285714305;1;3;68951.0
15;3;11.519047619047644;1;3;64676.0
18;3;8.914285714285736;1;3;64002.0
21;3;7.514285714285738;1;3;66561.0
0;3;6.430952380952404;2;4;65093.0
3;3;5.561904761904784;2;4;59603.0
6;3;4.7000000000000215;2;4;61980.0
9;3;6.711904761904784;2;4;72220.0
12;3;8.27857142857145;2;4;71330.0
15;3;8.345238095238118;2;4;67374.0
18;3;6.17804878048783;2;4;66140.0
21;3;4.429268292682954;2;4;69621.0
0;3;3.5105263157895017;3;5;68771.0
3;3;2.8789473684210716;3;5;63953.0
6;3;2.168292682926854;3;5;66349.0
9;3;5.941463414634172;3;5;75451.0
12;3;9.295121951219532;3;5;71558.0
15;3;10.409756097560999;3;5;65271.0
18;3;7.377500000000024;3;5;63729.0
21;3;4.624390243902464;3;5;68619.0
0;3;2.8975609756097827;4;6;68222.0
3;3;1.8243902439024602;4;6;63373.0
6;3;1.1682926829268494;4;6;66099.0
9;3;6.565853658536609;4;6;75631.0
12;3;11.367500000000025;4;6;70561.0
15;3;13.02926829268295;4;6;63038.0
18;3;9.331707317073189;4;6;60762.0
21;3;5.521951219512217;4;6;65830.0
0;3;3.6658536585366037;5;7;66167.0
3;3;2.439024390243922;5;7;59117.0
6;3;1.765853658536607;5;7;58484.0
9;3;8.082926829268319;5;7;64098.0
12;3;13.80487804878051;5;7;61479.0
15;3;15.314634146341488;5;7;54940.0
18;3;11.152500000000021;5;7;53168.0
21;3;7.502500000000028;5;7;59533.0
0;3;4.955000000000027;6;8;62078.0
3;3;3.555000000000021;6;8;55533.0
6;3;2.607317073170749;6;8;53327.0
9;3;8.541463414634173;6;8;56588.0
12;3;14.15609756097563;6;8;56165.0
15;3;15.768292682926853;6;8;48652.0
18;3;11.15121951219514;6;8;48273.0
21;3;8.070731707317096;6;8;58075.0
0;3;6.878048780487832;0;9;58660.0
3;3;5.914634146341489;0;9;52928.0
6;3;5.1756097560975824;0;9;56059.0
9;3;8.812195121951241;0;9;66486.0
12;3;12.402439024390267;0;9;65408.0
15;3;13.821951219512215;0;9;60215.0
18;3;10.768292682926848;0;9;58882.0
21;3;7.821951219512217;0;9;62361.0
0;3;6.336585365853679;1;10;61101.0
3;3;5.426829268292707;1;10;55378.0
6;3;4.973170731707346;1;10;57596.0
9;3;9.38536585365856;1;10;68354.0
12;3;12.764285714285734;1;10;66704.0
15;3;13.973809523809548;1;10;61952.0
18;3;11.52142857142859;1;10;60780.0
21;3;9.252380952380971;1;10;63222.0
0;3;8.173809523809544;2;11;61495.0
3;3;7.364285714285736;2;11;53930.0
6;3;6.85714285714288;2;11;56413.0
9;3;10.440476190476215;2;11;67956.0
12;3;14.095238095238116;2;11;65447.0
15;3;15.0761904761905;2;11;60077.0
18;3;11.887804878048804;2;11;57963.0
21;3;8.9761904761905;2;11;62022.0
0;3;7.254761904761929;3;12;60970.0
3;3;5.814285714285733;3;12;54373.0
6;3;4.733333333333354;3;12;57307.0
9;3;9.059523809523833;3;12;67963.0
12;3;13.273809523809545;3;12;65292.0
15;3;14.535714285714308;3;12;59608.0
18;3;11.057142857142876;3;12;58108.0
21;3;8.083333333333357;3;12;62250.0
0;3;6.18571428571431;4;13;61364.0
3;3;5.3880952380952625;4;13;54627.0
6;3;4.864285714285738;4;13;57476.0
9;3;8.10714285714288;4;13;68041.0
12;3;10.409523809523835;4;13;66434.0
15;3;10.607142857142875;4;13;61783.0
18;3;8.421428571428594;4;13;61222.0
21;3;6.821428571428591;4;13;63851.0
0;3;5.7976190476190705;5;14;63227.0
3;3;4.721428571428599;5;14;54932.0
6;3;3.961904761904783;5;14;53668.0
9;3;6.34285714285716;5;14;60526.0
12;3;8.525000000000023;5;14;62229.0
15;3;9.01190476190479;5;14;57429.0
18;3;7.27142857142859;5;14;57235.0
21;3;5.778571428571454;5;14;61177.0
0;3;4.995238095238118;6;15;62602.0
3;3;4.540476190476216;6;15;54872.0
6;3;4.21000000000002;6;15;52045.0
9;3;5.921428571428596;6;15;56453.0
12;3;8.210000000000026;6;15;61464.0
15;3;8.728571428571453;6;15;56000.0
18;3;7.50000000000002;6;15;56023.0
21;3;6.20476190476193;6;15;62274.0
0;3;5.242857142857166;0;16;61991.0
3;3;4.633333333333352;0;16;55805.0
6;3;4.0690476190476375;0;16;59286.0
9;3;7.014634146341482;0;16;71127.0
12;3;10.20243902439027;0;16;69007.0
15;3;11.292857142857164;0;16;63639.0
18;3;9.242857142857167;0;16;61939.0
21;3;6.678571428571452;0;16;65450.0
0;3;5.345238095238117;1;17;63979.0
3;3;4.507142857142882;1;17;56900.0
6;3;3.9857142857143053;1;17;60251.0
9;3;9.450000000000026;1;17;70302.0
12;3;13.811904761904787;1;17;66288.0
15;3;14.909523809523833;1;17;60618.0
18;3;12.285714285714308;1;17;58292.0
21;3;9.661904761904786;1;17;62011.0
0;3;8.209523809523834;2;18;60487.0
3;3;7.219047619047641;2;18;53480.0
6;3;5.472222222222251;2;18;56301.0
9;3;10.852380952380978;2;18;66813.0
12;3;14.65000000000002;2;18;64570.0
15;3;15.266666666666689;2;18;58938.0
18;3;12.550000000000026;2;18;57679.0
21;3;9.552380952380975;2;18;61578.0
0;3;8.014285714285737;3;19;60324.0
3;3;6.711904761904786;3;19;53405.0
6;3;6.007142857142882;3;19;56145.0
9;3;9.216666666666688;3;19;67221.0
12;3;12.104761904761931;3;19;66915.0
15;3;12.880952380952408;3;19;63054.0
18;3;10.628571428571453;3;19;61684.0
21;3;8.621428571428593;3;19;63633.0
0;3;7.559523809523834;4;20;61627.0
3;3;6.9523809523809765;4;20;54167.0
6;3;6.9285714285714475;4;20;56209.0
9;3;8.711904761904785;4;20;68045.0
12;3;10.676190476190499;4;20;69263.0
15;3;11.490476190476212;4;20;63298.0
18;3;10.061904761904785;4;20;61175.0
21;3;8.366666666666688;4;20;63142.0
0;3;7.271428571428591;5;21;61898.0
3;3;6.873809523809546;5;21;53259.0
6;3;6.976190476190499;5;21;51952.0
9;3;8.7761904761905;5;21;58685.0
12;3;10.380952380952404;5;21;61552.0
15;3;10.216666666666688;5;21;57302.0
18;3;8.626190476190501;5;21;57233.0
21;3;7.414285714285732;5;21;60079.0
0;3;6.719047619047643;6;22;61154.0
3;3;6.3285714285714505;6;22;53205.0
6;3;5.8952380952381205;6;22;50251.0
9;3;7.300000000000019;6;22;54621.0
12;3;9.030952380952401;6;22;59643.0
15;3;9.414285714285736;6;22;54610.0
18;3;8.1761904761905;6;22;53514.0
21;3;6.569047619047639;6;22;61172.0
0;3;5.064285714285743;0;23;61529.0
3;3;3.914285714285738;0;23;55847.0
6;3;3.3904761904762117;0;23;59880.0
9;3;8.630952380952406;0;23;70176.0
12;3;12.535714285714308;0;23;66392.0
15;3;13.514285714285737;0;23;60486.0
